id_pedido,imei,os,chave_peca,custo,venda,margem,status_label
PED202606093501417897053714,350141789705371,29426,BATERIA IPHONE 12 PRO MAX,1543.5,2749,1205.5,CONCLUÍDO
PED2026060935086448130820811,350864481308208,29473,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935105706268254213,351057062682542,29468,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935201283654346122,352012836543461,29478,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935204513046359823,352045130463598,29621,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935209467749517524,352094677495175,28434,BATERIA IPHONE 13,1632.59,2199,566.4100000000001,CONCLUÍDO
PED2026060935248481421639628,352484814216396,29658,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED2026060935250958635894129,352509586358941,29572,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935286711206002133,352867112060021,29654,BATERIA IPHONE 11 PRO MAX,909.5,1769,859.5,CONCLUÍDO
PED2026060935292011930672135,352920119306721,29664,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935301811676823036,353018116768230,29437,BATERIA IPHONE 12 MINI,711,1499,788,CONCLUÍDO
PED2026060935302011125380439,353020111253804,29415,BATERIA IPHONE 12 MINI,828,1899,1071,CONCLUÍDO
PED2026060935302111718312840,353021117183128,29669,BATERIA IPHONE 12 MINI,728.45,1749,1020.55,CONCLUÍDO
PED2026060935302211358968041,353022113589680,29454,BATERIA IPHONE 12 MINI,771.3,1749,977.7,CONCLUÍDO
PED2026060935303311057484942,353033110574849,29610,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935303311153479243,353033111534792,29577,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED2026060935303411152090646,353034111520906,29472,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED2026060935303411868502547,353034118685025,29611,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935305511656029048,353055116560290,29620,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935306611061890150,353066110618901,29624,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935349092532823556,353490925328235,29464,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED2026060935350545283365157,353505452833651,29564,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935399610157399862,353996101573998,29488,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935424447526736163,354244475267361,29622,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935474682176869469,354746821768694,29657,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935548773955316276,355487739553162,29563,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED2026060935572733509887677,355727335098876,29609,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935587037384369478,355870373843694,28479,BATERIA IPHONE 13,1632.59,2199,566.4100000000001,CONCLUÍDO
PED2026060935605283124498479,356052831244984,29687,BATERIA IPHONE 13,1530,2199,669,CONCLUÍDO
PED2026060935642767460415780,356427674604157,29605,BATERIA IPHONE 12,977.5,1849,871.5,CONCLUÍDO
PED2026060935673211104753484,356732111047534,29335,BATERIA IPHONE 12 PRO MAX,1543.5,2749,1205.5,CONCLUÍDO
PED2026060935761953394838293,357619533948382,29612,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935767615855365797,357676158553657,30137,BATERIA IPHONE 12,690,1849,1159,CONCLUÍDO
PED2026060935767615985264598,357676159852645,29614,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED2026060935768811534913799,357688115349137,29651,BATERIA IPHONE 13,1682.1,2399,716.9000000000001,CONCLUÍDO
PED20260609357846851351861101,357846851351861,29661,BATERIA IPHONE 13,1530,2199,669,CONCLUÍDO
PED20260609357848531978287103,357848531978287,29596,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260609358209593266815105,358209593266815,29606,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED20260609358209596947973106,358209596947973,29608,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED20260609358209598947302107,358209598947302,29623,BATERIA IPHONE 12,918,1699,781,CONCLUÍDO
PED20260609358265583507931108,358265583507931,28512,BATERIA IPHONE 13,1632.59,2199,566.4100000000001,CONCLUÍDO
PED20260609359056817122012119,359056817122012,29333,BATERIA IPHONE 14 PRO MAX,2466,4099,1633,CONCLUÍDO
PED20260609359173738753609120,359173738753609,29618,BATERIA IPHONE 12 PRO MAX,1394,2699,1305,CONCLUÍDO
PED20260609359669603682443123,359669603682443,29649,BATERIA IPHONE 12,977.5,1849,871.5,CONCLUÍDO
PED20260609359676587178074124,359676587178074,29470,BATERIA IPHONE 11,725.4,1499,773.6,CONCLUÍDO
PED20260609359773717088081125,359773717088081,29659,BATERIA IPHONE 13,1530,2199,669,CONCLUÍDO
PED20260610350038442261299127,350038442261299,29773,BATERIA IPHONE 13,1401.75,2399,997.25,CONCLUÍDO
PED20260610350283164988667129,350283164988667,29759,BATERIA IPHONE 13 PRO,1717,2999,1282,CONCLUÍDO
PED20260610351066250087687137,351066250087687,28660,BATERIA IPHONE 12,1039,1849,810,CONCLUÍDO
PED20260610351150161226160138,351150161226160,29774,BATERIA IPHONE 13 PRO,1717,2999,1282,CONCLUÍDO
PED20260610352012830692272147,352012830692272,29711,BATERIA IPHONE 11,517.3,1499,981.7,CONCLUÍDO
PED20260610352707668707510157,352707668707510,29765,BATERIA IPHONE 13,1360,2199,839,CONCLUÍDO
PED20260610353018112304055158,353018112304055,29776,BATERIA IPHONE 12 MINI,647.8,1499,851.2,CONCLUÍDO
PED20260610353065100108683159,353065100108683,30554,BATERIA IPHONE XR,,949,0,CONCLUÍDO
PED20260610353568256804278163,353568256804278,29706,BATERIA IPHONE 11,517.3,1499,981.7,CONCLUÍDO
PED20260610354001103264107168,354001103264107,29749,BATERIA IPHONE 11,682.74,1699,1016.26,CONCLUÍDO
PED20260610354548721991214170,354548721991214,29772,BATERIA IPHONE 13,1304.11,2199,894.8900000000001,CONCLUÍDO
PED20260610355708339422056174,355708339422056,29758,BATERIA IPHONE 11,1402.5,3399,1996.5,CONCLUÍDO
PED20260610356417994927875177,356417994927875,29760,BATERIA IPHONE 13,1445,2199,754,CONCLUÍDO
PED20260610356564108923561180,356564108923561,29767,BATERIA IPHONE 11,604.5,1499,894.5,CONCLUÍDO
PED20260610356813110949878185,356813110949878,29769,BATERIA IPHONE 11,641.75,1299,657.25,CONCLUÍDO
PED20260610357140953118687189,357140953118687,29731,BATERIA IPHONE 13,1445,2199,754,CONCLUÍDO
PED20260611350666975770516210,350666975770516,29383,BATERIA IPHONE 14 PRO,2160,3299,1139,CONCLUÍDO
PED20260611350739829487106213,350739829487106,30641,BATERIA IPHONE 13,1217,2199,982,CONCLUÍDO
PED20260611350864487091204214,350864487091204,29940,BATERIA IPHONE 11,695.98,1699,1003.02,CONCLUÍDO
PED20260611351063319395300217,351063319395300,30638,BATERIA IPHONE 13,1445.57,2399,953.4300000000001,CONCLUÍDO
PED20260611351150161320526218,351150161320526,29097,BATERIA IPHONE 13 PRO,2020,2999,979,CONCLUÍDO
PED20260611351309649642576220,351309649642576,29768,BATERIA IPHONE 13,1360,2199,839,CONCLUÍDO
PED20260611351742730324888226,351742730324888,30259,BATERIA S23 ULTRA,1572,3399,1827,CONCLUÍDO
PED20260611351942838182572231,351942838182572,29746,BATERIA 13,1445,2199,754,CONCLUÍDO
PED20260611352292937868922237,352292937868922,29714,BATERIA IPHONE 12 PRO MAX,1292.9,2999,1706.1,CONCLUÍDO
PED20260611352391572967070240,352391572967070,30030,BATERIA IPHONE 13,1650,2199,549,CONCLUÍDO
PED20260611352681236824000241,352681236824000,29826,BATERIA IPHONE 11,641.75,1299,657.25,CONCLUÍDO
PED20260611352806848862722243,352806848862722,29144,BATERIA IPHONE 13 PRO,2092.57,2999,906.4299999999998,CONCLUÍDO
PED20260611352827112510342244,352827112510342,29364,BATERIA IPHONE 11 PRO,945,1999,1054,CONCLUÍDO
PED20260611352916119423763246,352916119423763,29900,BATERIA IPHONE 11,596.04,1499,902.96,CONCLUÍDO
PED20260611352937900647030249,352937900647030,28405,BATERIA IPHONE 14,1735,2499,764,CONCLUÍDO
PED20260611352989115391763250,352989115391763,30264,BATERIA IPHONE 11,740.8,1699,958.2,CONCLUÍDO
PED20260611352991110482944251,352991110482944,29896,BATERIA IPHONE 11,630.29,1499,868.71,CONCLUÍDO
PED20260611353009117599005252,353009117599005,30558,BATERIA IPHONE 12 MINI,775,1749,974,CONCLUÍDO
PED20260611353023110603417255,353023110603417,29436,BATERIA IPHONE 12 MINI,771.3,1749,977.7,CONCLUÍDO
PED20260611353023115279254256,353023115279254,29439,BATERIA IPHONE 12 MINI,711,1499,788,CONCLUÍDO
PED20260611353031112595002257,353031112595002,29580,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260611353245102643974265,353245102643974,30263,BATERIA IPHONE 11 PRO,871.2,1999,1127.8,CONCLUÍDO
PED20260611353838103438699271,353838103438699,29733,BATERIA IPHONE 11 PRO,799,1469,670,CONCLUÍDO
