entity_key,file_name,sheet_name,row_number,message,raw_value
PED202606223500384406115291226,ANALISE MI.xlsx,PEDIDOS,5,"Status divergente entre arquivos para PED202606223500384406115291226: primário=""CONCLUIDO"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617350175610319432467,ANALISE MI.xlsx,PEDIDOS,18,"Status divergente entre arquivos para PED20260617350175610319432467: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260610350293727179001130,ANALISE MI.xlsx,PEDIDOS,28,"Status divergente entre arquivos para PED20260610350293727179001130: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260610350293727179001131,ANALISE MI.xlsx,PEDIDOS,29,"Status divergente entre arquivos para PED20260610350293727179001131: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617350505202184598489,ANALISE MI.xlsx,PEDIDOS,61,"Status divergente entre arquivos para PED20260617350505202184598489: primário=""MATCH PARCIAL"", secundário=""PEDIR PECA"".",PEDIR PECA
PED202606193506669747189531111,ANALISE MI.xlsx,PEDIDOS,137,"Status divergente entre arquivos para PED202606193506669747189531111: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED20260611350666975770516210,ANALISE MI.xlsx,PEDIDOS,138,"Status divergente entre arquivos para PED20260611350666975770516210: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED202606193510558208657221150,ANALISE MI.xlsx,PEDIDOS,181,"Status divergente entre arquivos para PED202606193510558208657221150: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED202606223517427300961481231,ANALISE MI.xlsx,PEDIDOS,273,"Status divergente entre arquivos para PED202606223517427300961481231: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260611351942838182572231,ANALISE MI.xlsx,PEDIDOS,289,"Status divergente entre arquivos para PED20260611351942838182572231: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED20260617351957187473067644,ANALISE MI.xlsx,PEDIDOS,290,"Status divergente entre arquivos para PED20260617351957187473067644: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617351957187473067645,ANALISE MI.xlsx,PEDIDOS,291,"Status divergente entre arquivos para PED20260617351957187473067645: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260611352391572967070240,ANALISE MI.xlsx,PEDIDOS,331,"Status divergente entre arquivos para PED20260611352391572967070240: primário=""CONCLUIDO"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617352682651043373685,ANALISE MI.xlsx,PEDIDOS,365,"Status divergente entre arquivos para PED20260617352682651043373685: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617352682651043373684,ANALISE MI.xlsx,PEDIDOS,366,"Status divergente entre arquivos para PED20260617352682651043373684: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617352859110874149700,ANALISE MI.xlsx,PEDIDOS,395,"Status divergente entre arquivos para PED20260617352859110874149700: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
